dataset,transform,model,split_id,Accuracy,Accuracy_sex_Male_0,Accuracy_sex_Male_0-sex_Male_1,Accuracy_sex_Male_0/sex_Male_1,Accuracy_sex_Male_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR-ratio,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1,seed,PR_t,t_s0,t_s1
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",2,0.7953395803963844,0.8767437904048996,0.1205912986969433,0.8624554858366872,0.7561524917079563,0.6818938089694917,0.9209757319429522,0.5253237594563405,0.9068391459336298,0.92121677382209,0.023301347973370468,0.9747059013301568,0.8979154258487195,0.4569484720053536,0.8388418638557793,0.5295880149812734,0.08534741741869968,0.8388418638557793,0.4442405975625737,0.1833208944909749,0.12997618237495748,0.07902426805704776,0.6218942691572955,0.20900045043200524,4820.0,0.3,0.13317211879648078,-0.0207949442419776
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",2,0.7902258340934848,0.8398264715889758,0.07347783721691903,0.912508310106138,0.7663486343720568,0.7908927144504427,0.8186843149889724,0.651800871759578,0.7895703943258241,0.8427214278859995,0.08614012949409955,0.8977833876727384,0.7565812983918999,0.7922150345750614,0.9640377345481989,0.8172284644194756,0.029389386972221043,0.9640377345481989,0.7878390774472546,0.3546175747021588,0.23222184416468186,0.18131568501102754,0.5615496243534702,0.4135375291757094,4820.0,0.4,0.2387008052625609,0.07293586121234462
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",2,0.7645465350913564,0.8221333787002382,0.08530851485354883,0.8962351887616844,0.7368248638466893,0.7992111088178779,0.7651070030633529,0.6462918362262271,0.7304766454742567,0.8174839266864984,0.14100983496523578,0.8275075137724237,0.6764740917212626,0.8679455721614989,0.9871392675972396,0.8584269662921349,0.011183831768407648,0.9871392675972396,0.8696107980605425,0.4178345357547613,0.2592718611772712,0.2348929969366472,0.524666732002829,0.4941648581139184,4820.0,0.5,0.3864409663150731,0.18752303345481355
Adult Sex,no_transform,"Logistic Regression, C=1.0",3,0.8475827183016834,0.9247192922762844,0.1142692697546842,0.8764281542419219,0.8104500225216003,0.7646328483613648,0.8206302261150833,0.6612189727205702,0.9291095512844072,0.9759140197677766,0.0758544605063114,0.9222734185903372,0.9000595592614652,0.6001561454383225,0.8561943404078235,0.5250936329588015,0.0881942716408578,0.8561943404078235,0.6132879045996593,0.2020620836443044,0.08097992514460703,0.17936977388491676,0.31104289901800064,0.26034969902952376,7230.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam",3,0.8246676064903116,0.8965634569581491,0.10650571976474987,0.8812067133250095,0.7900577371933991,0.7557191688259215,0.8258942469972721,0.6363584245829272,0.8924332071588695,0.9398330294597448,0.07681933082960779,0.918262788791572,0.8630136986301371,0.6190051304929735,0.8876382664882884,0.5588014981273408,0.0707359150557283,0.8876382664882884,0.6295374131830691,0.23432014816043345,0.11679142565498468,0.17410575300272796,0.40148696592347705,0.29089717865771264,7230.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",3,0.7877104237498963,0.9017522966995576,0.16894037253592809,0.8126532384178502,0.7328119241636296,0.6032362401858632,0.9435753207957402,0.356676160160831,0.9690198816655028,0.9837827463775072,0.02392568860502331,0.9756799062667822,0.9598570577724836,0.2374525987062235,0.8922660885191942,0.2614232209737828,0.028164146147416663,0.8922660885191942,0.2332590748263661,0.0821516433092849,0.04406260632868322,0.05642467920425974,0.4384893680329148,0.10048728553294296,7230.0,0.1,-0.0677951684246342,-1.0623848327259329
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",3,0.8308870276695138,0.8957978904389248,0.0961582360431179,0.8926563267569182,0.7996396543958069,0.7595543958063764,0.8900736776572921,0.6443436809673293,0.9009959207673368,0.9187218117263218,0.02872776765246832,0.9687307220904144,0.8899940440738535,0.618112870845416,0.8381605470837686,0.7168539325842697,0.1160152482702872,0.8381605470837686,0.6008386843139825,0.2276584570307101,0.15345355563116705,0.10992632234270792,0.5826320401226259,0.26337987797387497,7230.0,0.2,0.05402560394692076,-0.2811924163629663
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",3,0.7911103739945269,0.8695134399455597,0.11614543699727753,0.8664247938426928,0.7533680029482822,0.6848407070519114,0.9284349000218312,0.5294227535961142,0.8955569438829885,0.9071106419729392,0.01872469795864496,0.9793578676158852,0.8883859440142943,0.4741244702208343,0.7921405382432447,0.5760299625468165,0.11973327797074518,0.7921405382432447,0.4562966845760713,0.19606379744036267,0.14775433821027562,0.07156509997816876,0.6736946776387492,0.2193194381884444,7230.0,0.3,0.13317211879648078,-0.0207949442419776
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",3,0.8000663404925782,0.8455256890098674,0.06734297740919581,0.9203537180661464,0.7781827116006715,0.7867028818083133,0.8452992643408339,0.6533429187634795,0.8132005438976885,0.8503022742539104,0.06012955239566142,0.9292844977412044,0.7901727218582489,0.7602052197189382,0.9301719038082918,0.8082397003745319,0.05643783954371018,0.9301719038082918,0.7518018608308217,0.3289106338281229,0.2244811160258592,0.15470073565916606,0.5920143989705731,0.3791818516850252,7230.0,0.4,0.2387008052625609,0.07293586121234462
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",3,0.7769577355778533,0.8281728479074515,0.07586950242610346,0.908389290209401,0.752303345481348,0.7968049265251921,0.7941062437143251,0.6501322464553615,0.7574510308331189,0.8257364936186546,0.11066800046796976,0.8659766144245541,0.7150684931506849,0.8361588222172652,0.9846997813956544,0.8471910112359551,0.012962207671546766,0.9846997813956544,0.8342288035644083,0.3896674682809521,0.25068050357264376,0.2058937562856749,0.5490465092150254,0.4565742598583187,7230.0,0.5,0.3864409663150731,0.18752303345481355
Adult Sex,no_transform,"Logistic Regression, C=1.0",4,0.8484119744589104,0.9253997958489282,0.11404890931684508,0.8767571488253671,0.8113508865320831,0.7615571393301837,0.8310627727832958,0.6583603289309743,0.9337767814486788,0.9758180596871702,0.06813491495816483,0.9301766202400398,0.9076831447290054,0.5893374972116886,0.8872834405178921,0.5318352059925093,0.06756198965681581,0.8872834405178921,0.5993971956493251,0.1958703043370097,0.08183055461041171,0.1689372272167043,0.32632004803084,0.250767781827116,9640.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam",4,0.8428559582054896,0.91850969717591,0.11207261433736948,0.8779842883728362,0.8064370828385407,0.7809716071755992,0.800320495837736,0.6749385327920407,0.9036786593656976,0.9612321274349872,0.09327501010324203,0.902963074744346,0.8679571173317451,0.6582645549855007,0.8717590124236914,0.5850187265917604,0.08605976901825141,0.8717590124236914,0.6710784956100118,0.23559167426818145,0.10079959169785642,0.199679504162264,0.3354629093558669,0.3004790958601204,9640.0,,,
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",4,0.7891478010890898,0.9012419190200748,0.16605498973789967,0.8157487060539171,0.7351869292821752,0.6071082579981346,0.9408288266563234,0.3665504069091513,0.9680643857263608,0.9829191056520488,0.024074555324472783,0.9755070837609752,0.958844550327576,0.2461521302699085,0.9219366132164258,0.2636704119850187,0.020583005354170875,0.9219366132164258,0.24308740663084785,0.08502639798767173,0.045083361687648864,0.059171173343676636,0.43243549716185103,0.1042545350313255,9640.0,0.1,-0.0677951684246342,-1.0623848327259329
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",4,0.8219863449152777,0.8897584212317114,0.10039680622823087,0.8871639718911011,0.7893616150034806,0.739279409423206,0.9112349081975712,0.6156600620673192,0.903274411083753,0.9142116879378178,0.01772568436426214,0.980610962867642,0.8964860035735557,0.575284407762659,0.7922183208532131,0.6988764044943822,0.14521371284191187,0.7922183208532131,0.5536626916524702,0.21533018215993588,0.15541000340251787,0.0887650918024287,0.6364695108322805,0.2441750952049465,9640.0,0.2,0.05402560394692076,-0.2811924163629663
Adult Sex,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",4,0.8201619813693783,0.8767437904048996,0.08381966772360072,0.9043966223189436,0.7929241226812989,0.7554536218979491,0.9061115384673796,0.6335060838215413,0.8837602440189629,0.8932923903656079,0.015448435630646684,0.9827061824356031,0.8778439547349612,0.6271469997769351,0.8107388935911398,0.7475655430711611,0.14148508179478836,0.8107388935911398,0.6060804612763727,0.2428614865798712,0.17948281728479076,0.09388846153262052,0.6565533075062724,0.27337127881741125,9640.0,0.3,0.13317211879648078,-0.0207949442419776
