dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",1-2410,0.6415247364152473,0.4895833333333333,0.4230769230769231,0.17457932692307693,0.7078934137757668,0.59765625,0.8235294117647058,0.8539042821158691,0.103904282115869,0.8783185840707964,0.75
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",2-4820,0.6788321167883211,0.7872023809523809,0.7403846153846154,0.12289663461538458,0.8576400974591021,0.86328125,0.5490196078431373,0.6070528967254408,0.1985163113595872,0.6729835036939581,0.4085365853658536
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",2-4820,0.6682887266828873,0.6071428571428571,0.5360576923076923,0.1865985576923077,0.7417879417879417,0.72265625,0.7415329768270945,0.7909319899244333,0.16898077041223813,0.7863523380456734,0.6219512195121951
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",2-4820,0.6763990267639902,0.6354166666666666,0.5649038461538461,0.18509615384615385,0.7532051282051282,0.75,0.7254901960784313,0.7732997481108312,0.16354365054985565,0.7885119567808055,0.6097560975609756
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",2-4820,0.6666666666666666,0.5714285714285714,0.4975961538461538,0.19381009615384606,0.7196870925684485,0.69140625,0.7807486631016043,0.8287153652392947,0.16408121889783125,0.8020053376825562,0.6646341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",2-4820,0.6342254663422546,0.4702380952380952,0.4182692307692308,0.13641826923076922,0.7540628385698809,0.5546875,0.8306595365418895,0.8690176322418136,0.13121275419303313,0.8490102509720749,0.7378048780487805
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",2-4820,0.6642335766423357,0.5565476190476191,0.4879807692307692,0.17998798076923078,0.7305443094916779,0.66796875,0.7932263814616756,0.8362720403022671,0.1472476500583646,0.8239237437555098,0.6890243902439024
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",3-7230,0.6796431467964315,0.7351190476190477,0.6899038461538461,0.11868990384615385,0.8532144184318097,0.80859375,0.6131907308377896,0.6775818639798489,0.22026479080911715,0.6749251972073624,0.4573170731707317
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",3-7230,0.6650446066504461,0.5610119047619048,0.5240384615384616,0.09705528846153844,0.8437348814707306,0.62109375,0.7896613190730838,0.8488664987405542,0.2025250353259201,0.761417094883115,0.6463414634146342
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",3-7230,0.6690997566909975,0.5699404761904762,0.5336538461538461,0.09525240384615384,0.8485427615862399,0.62890625,0.7878787878787878,0.8463476070528967,0.20000614363826247,0.7636832171893148,0.6463414634146342
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",3-7230,0.6415247364152473,0.4791666666666667,0.43990384615384615,0.10306490384615384,0.8101826231322634,0.54296875,0.8360071301247772,0.8816120906801007,0.15600233458253976,0.8230487804878049,0.725609756097561
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",3-7230,0.6407137064071371,0.4747023809523809,0.43509615384615385,0.10396634615384616,0.8071348940914158,0.5390625,0.839572192513369,0.8866498740554156,0.16104011795785467,0.8183723669623059,0.725609756097561
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",3-7230,0.6423357664233577,0.4851190476190476,0.4447115384615384,0.10606971153846156,0.8074195308237861,0.55078125,0.8306595365418895,0.8816120906801007,0.17429501750936904,0.8022996515679442,0.7073170731707317
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",4-9640,0.6618004866180048,0.8110119047619048,0.8004807692307693,0.027644230769230727,0.9666182873730044,0.828125,0.483065953654189,0.5465994962216625,0.21733120353873564,0.6023940654153085,0.32926829268292684
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",4-9640,0.6480129764801298,0.5729166666666666,0.5216346153846154,0.13461538461538458,0.7948717948717949,0.65625,0.7379679144385026,0.7984886649874056,0.20702525035325925,0.7407286296837732,0.5914634146341463
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",4-9640,0.6512570965125709,0.5877976190476191,0.5456730769230769,0.11057692307692313,0.8315018315018314,0.65625,0.7272727272727273,0.7858942065491183,0.2005283528905818,0.7448405253283302,0.5853658536585366
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",4-9640,0.6301703163017032,0.4955357142857143,0.4423076923076923,0.1397235576923077,0.7599380485286525,0.58203125,0.7914438502673797,0.8413098236775819,0.17057811636050868,0.7972469694756829,0.6707317073170732
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",4-9640,0.6253041362530414,0.4791666666666667,0.4206730769230769,0.15354567307692307,0.7326007326007327,0.57421875,0.8003565062388592,0.8463476070528967,0.1573232168089943,0.8141151277584204,0.6890243902439024
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",4-9640,0.6496350364963503,0.5684523809523809,0.5240384615384616,0.11658653846153845,0.8180112570356474,0.640625,0.7468805704099821,0.8060453400503779,0.2023868034650121,0.7489138719512195,0.6036585365853658
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",5-12050,0.6909975669099757,0.8125,0.8100961538461539,0.006310096153846145,0.9922708870077293,0.81640625,0.5454545454545454,0.5994962216624685,0.18486207532100515,0.6916376306620209,0.4146341463414634
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",5-12050,0.6609894566098946,0.5773809523809523,0.5432692307692307,0.08954326923076927,0.8584995251661918,0.6328125,0.7611408199643493,0.8110831234256927,0.17083922098666826,0.7893690349946978,0.6402439024390244
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",5-12050,0.6609894566098946,0.5758928571428571,0.5408653846153846,0.09194711538461542,0.8547008547008547,0.6328125,0.7629233511586453,0.8110831234256927,0.1647416600110585,0.7968868353279807,0.6463414634146342
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",5-12050,0.6504460665044607,0.5193452380952381,0.4711538461538462,0.12650240384615385,0.7883358471593765,0.59765625,0.8074866310160428,0.8589420654911839,0.17601523622289114,0.7950790358343467,0.6829268292682927
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",5-12050,0.6317923763179237,0.4598214285714286,0.4206730769230769,0.10276442307692307,0.8036739380022963,0.5234375,0.8377896613190731,0.8790931989924433,0.14128832094366284,0.8392794744566356,0.7378048780487805
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",5-12050,0.6561232765612328,0.5535714285714286,0.5168269230769231,0.09645432692307687,0.8427241548260658,0.61328125,0.7789661319073083,0.8287153652392947,0.17017877987344102,0.7946474905478539,0.6585365853658537
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam",6-14460,0.6731549067315491,0.7827380952380952,0.7620192307692307,0.054387019230769273,0.9333824070666176,0.81640625,0.5418894830659536,0.5919395465994962,0.17120783928242306,0.710768033212247,0.4207317073170732
Compas Race,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",6-14460,0.6512570965125709,0.5669642857142857,0.53125,0.09375,0.85,0.625,0.7522281639928698,0.8136020151133502,0.20994347852798434,0.7419580155553877,0.6036585365853658
