dataset,transform,model,repeat,Accuracy,CV absolute,TNR,TNR_sex_Male_0,TNR_sex_Male_0-sex_Male_1,TNR_sex_Male_0/sex_Male_1,TNR_sex_Male_1,TPR,TPR_sex_Male_0,TPR_sex_Male_0-sex_Male_1,TPR_sex_Male_0/sex_Male_1,TPR_sex_Male_1,prob_pos,prob_pos_sex_Male_0,prob_pos_sex_Male_0-sex_Male_1,prob_pos_sex_Male_0/sex_Male_1,prob_pos_sex_Male_1
Adult Sex,no_transform,GPyT_dem_par_in_False,3-7230,0.8458817025981205,0.9416622542410832,0.9492870792297516,0.9431861804222648,0.009886711430998618,0.9896264897307344,0.9530728918532636,0.532114183764496,0.7065868263473054,0.2050144993032802,0.7098523611555272,0.5015723270440252,0.17003869541182973,0.1306566859476012,0.05833774575891695,0.6913255843986595,0.1889944317065181
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,3-7230,0.8412382531785517,0.9281903787315552,0.9234161399382624,0.9178502879078696,0.009019650157876093,0.9902686992128594,0.9268699380657456,0.5918822479928635,0.7305389221556886,0.1629288592626068,0.7769744303536448,0.5676100628930818,0.2043117744610282,0.1558353181354202,0.07180962126844484,0.6845542823991912,0.22764493940386504
Adult Sex,no_transform,GPyT_in_False,4-9640,0.8491984521835269,0.8177326459051037,0.930030868734382,0.9773512476007676,0.07668426332253997,0.921538685799208,0.9006669842782278,0.6039250669045495,0.5209580838323353,0.09749055348422653,0.842362732162793,0.6184486373165619,0.2023217247097844,0.07927866621299763,0.18226735409489625,0.30311555159459197,0.2615460203078939
Adult Sex,no_transform,GPyT_dem_par_in_False,4-9640,0.8404643449419569,0.9323285670964152,0.9385565191827135,0.9339731285988484,0.007427538385429866,0.9921101199033312,0.9414006669842784,0.5428189116859946,0.6736526946107785,0.15373655205312653,0.7717866293966922,0.5199161425576521,0.18076285240464346,0.13507995916978566,0.06767143290358482,0.6662344351298151,0.20275139207337045
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,4-9640,0.8221116639027087,0.9192308793931684,0.9116566220784948,0.9124760076775432,0.0013278418843083448,0.9985447925500112,0.9111481657932348,0.5504014272970562,0.6227544910179641,0.08501864196136033,0.8634796806966618,0.5377358490566038,0.20287451630735207,0.1483497788363389,0.08076912060683175,0.6474794493028487,0.22911889944317065
Adult Sex,no_transform,GPyT_in_False,5-12050,0.8546158098396904,0.8163843438707369,0.9337057180655594,0.9808061420345492,0.07632781902359131,0.9221784858878844,0.9044783230109577,0.6146297948260482,0.5389221556886228,0.08896044389209001,0.8583167554706947,0.6278825995807128,0.20221116639027087,0.07825791085403197,0.18361565612926312,0.2988385263756844,0.2618735669832951
Adult Sex,no_transform,GPyT_dem_par_in_False,5-12050,0.8454394693200663,0.927274217641002,0.9450242540055858,0.9477927063339732,0.004486369983329963,0.9952665071662314,0.9433063363506432,0.5432649420160571,0.7095808383233533,0.1954298949271268,0.7245840299339226,0.5141509433962265,0.17600884466556108,0.12691391629806054,0.07272578235899807,0.6357148260180129,0.19963969865705866
Adult Sex,no_transform,GPyT_dem_par_in_False_tar_max,5-12050,0.845992260917634,0.9102656404651988,0.9140085256504484,0.9186180422264876,0.007469876433252699,0.9918683543215112,0.9111481657932348,0.639607493309545,0.7964071856287425,0.18424785648828124,0.768651187717722,0.6121593291404612,0.2232172470978441,0.16264035386185774,0.08973435953480123,0.6444399744844279,0.252374713396659
Adult Sex,no_transform,GPyT_in_False,6-14460,0.8432283029297954,0.7654323911453401,0.8890195501984418,0.9669865642994242,0.12634816506169194,0.8693382413712951,0.8406383992377322,0.7042818911685995,0.6197604790419161,0.09931708909225576,0.8618826486967754,0.7190775681341719,0.2580431177446103,0.09969377339231032,0.2345676088546599,0.29825094577826883,0.3342613822469702
Adult Sex,no_transform,GPyT_dem_par_in_False,6-14460,0.847208402432283,0.8985037168579102,0.9265030133764516,0.9378119001919386,0.018326430920857173,0.9804583084122666,0.9194854692710814,0.6066012488849242,0.7215568862275449,0.1350788988061612,0.8127952190819177,0.5864779874213837,0.20563847429519072,0.13712146988771692,0.10149628314208983,0.5746490700991074,0.2386177530298068
