dataset,transform,model,repeat,Accuracy,TNR,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",2-4820,0.6726094003241491,0.5863095238095238,0.6578947368421053,0.09251012145748994,0.8593846153846153,0.5653846153846154,0.7758007117437722,0.7590361445783133,0.01966949216490177,0.9747407862011048,0.778705636743215
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",2-4820,0.6709886547811994,0.6026785714285714,0.6776315789473685,0.09686234817813766,0.8570575056011949,0.5807692307692308,0.7526690391459074,0.7108433734939759,0.04907311919913482,0.9354230107242154,0.7599164926931107
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",2-4820,0.6572123176661264,0.5238095238095238,0.5986842105263158,0.0967611336032389,0.8383770076077768,0.5019230769230769,0.8167259786476868,0.8072289156626506,0.011142691853006979,0.9863843127612492,0.8183716075156576
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",2-4820,0.6588330632090762,0.5163690476190477,0.5986842105263158,0.10637651821862347,0.8223161453930685,0.4923076923076923,0.8291814946619217,0.8072289156626506,0.025756470558643718,0.9690793248180694,0.8329853862212944
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",2-4820,0.6709886547811994,0.5922619047619048,0.6710526315789473,0.10182186234817814,0.8482654600301659,0.5692307692307692,0.7651245551601423,0.7349397590361446,0.035415147018135085,0.95402749208215,0.7703549060542797
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam",3-7230,0.6580226904376013,0.7723214285714286,0.8421052631578947,0.09018218623481776,0.8929086538461539,0.7519230769230769,0.5213523131672598,0.3614457831325301,0.18761475966496471,0.6582985936139997,0.5490605427974948
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.6",3-7230,0.6547811993517018,0.5788690476190477,0.6513157894736842,0.09362348178137647,0.8562548562548563,0.5576923076923077,0.7455516014234875,0.6987951807228916,0.05485826395351756,0.9272102259453326,0.7536534446764092
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 0.9, TNR_t: 0.65",3-7230,0.673419773095624,0.6532738095238095,0.7434210526315791,0.11649797570850208,0.843294758339006,0.6269230769230769,0.6975088967971529,0.6385542168674698,0.06917020901979531,0.9022639229484308,0.7077244258872651
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.65",3-7230,0.6491085899513777,0.5431547619047619,0.625,0.10576923076923073,0.8307692307692308,0.5192307692307693,0.7758007117437722,0.7590361445783133,0.01966949216490177,0.9747407862011048,0.778705636743215
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.6",3-7230,0.626418152350081,0.4627976190476191,0.5328947368421053,0.09058704453441302,0.8300094966761632,0.4423076923076923,0.8220640569395018,0.8072289156626506,0.017405739869708392,0.9788927863352144,0.824634655532359
Compas Sex,no_transform,"LR (torch), wd: 0.1, RAdam, TPR_t: 1.0, TNR_t: 0.7",3-7230,0.6442463533225283,0.5282738095238095,0.6118421052631579,0.10799595141700402,0.8234904880066171,0.5038461538461538,0.7829181494661922,0.7710843373493976,0.013884347410518916,0.98231222763394,0.7849686847599165
