dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR-ratio,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed,PR_t,t_s0,t_s1
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",1,0.8433578417822987,0.8892185954500494,0.05330946072653309,0.940049093665712,0.8359091347235164,0.7421044546626251,0.9336896427000201,0.6314146341463415,0.9428907427143436,0.956981664315938,0.016702011051138443,0.9825471984741972,0.9402796532647996,0.5413181666109067,0.9757509659201392,0.5293383270911359,0.013154937665170618,0.9757509659201392,0.5424932647563067,0.17712421913870308,0.12007912957467852,0.06631035729998007,0.6442376744962455,0.18638948687465864,2410.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",1,0.8162142738680966,0.8508407517309594,0.04025051300075988,0.9526932473334476,0.8105902387301995,0.7750161549518333,0.9088308082861808,0.6515746999947597,0.8567123589724743,0.885989656793606,0.03470246770095453,0.9608319719819952,0.8512871890926514,0.6933199509311921,0.9540211938243424,0.6641697877652933,0.0320094921759263,0.9540211938243424,0.6961792799412196,0.2796174470672785,0.20118694362017805,0.09116919171381928,0.6881570772931973,0.2923561353339973,2410.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",1,0.8006523301453923,0.8411473788328387,0.04707225753990429,0.944038038131652,0.7940751212929344,0.7938688268771579,0.8858543681362799,0.6599396454168238,0.8073205688875822,0.8570756934649741,0.05897489632249042,0.9311905625463868,0.7981007971424837,0.7804170848667336,0.96652416644401,0.7565543071161048,0.0262034690288866,0.96652416644401,0.7827577761449914,0.3383548012604345,0.2401582591493571,0.11414563186372008,0.6778312777278898,0.35430389101307713,2410.0,0.4,0.2012858555885263,0.11468474547226608
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.5",1,0.7745591243297031,0.8203758654797231,0.05325829969236329,0.935080611298554,0.7671175657873598,0.8039261693793539,0.8615391665874526,0.6546701668219155,0.7456910808129066,0.8175834508697696,0.08521423886471667,0.8957730384903666,0.7323692120050529,0.8621612579458012,0.965773454379986,0.8352059925093633,0.02959929771841041,0.965773454379986,0.8648052902277737,0.4049698711924374,0.2858555885262117,0.13846083341254745,0.6736849524232383,0.4243164219387591,2410.0,0.5,0.3415430267062316,0.2376216945667193
Adult Race-Binary,no_transform,"Logistic Regression, C=1.0",2,0.8467576980485377,0.8929772502472799,0.053726535341904524,0.9398343739137512,0.8392507149053754,0.7635431196958397,0.9141038652895456,0.6594176188720973,0.9285583036272096,0.9543958627174424,0.030625335209492725,0.9679112867041424,0.9237705275079496,0.5985279357644697,0.9420760178415288,0.5667915106117354,0.03484943966992027,0.9420760178415288,0.6016409502816557,0.20208413953231247,0.1281899109792285,0.08589613471045437,0.5987775175456294,0.21408604568968287,4820.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam",2,0.8470617502349495,0.8917903066271019,0.051993371884307193,0.9416977606754277,0.8397969347427947,0.7626610763133765,0.9154010571564222,0.6586464309951261,0.930028297379736,0.954160789844852,0.028604314695659938,0.970021494280528,0.925556475149192,0.5952938552470168,0.93627443094373,0.5605493133583022,0.0381526214935225,0.93627443094373,0.5987019348518247,0.20017690309027586,0.1273986152324431,0.08459894284357783,0.6009437862805891,0.2119975580760209,4820.0,,,
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.1",2,0.7521421858588092,0.8415430267062315,0.10392133213951238,0.8765109699188446,0.7376216945667191,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,4820.0,0.1,-0.2922848664688426,-0.8118915271664041
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.2",2,0.8287356957266847,0.8781404549950544,0.057429083983262526,0.934601482420502,0.8207113710117919,0.7108129257663769,0.9413537105399707,0.5799322033898305,0.9446547352173752,0.9567465914433474,0.014332512948770582,0.9850195306918746,0.9424140784945768,0.4769711163153786,0.96260623555254,0.4606741573033708,0.017895521854111418,0.96260623555254,0.4785696791574822,0.1598485267289513,0.10939663699307617,0.05864628946002925,0.651004117234323,0.16804292645310542,4820.0,0.2,0.02596439169139462,-0.15594576358320208
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.3",2,0.8259163027254133,0.8642927794263106,0.04460958693201378,0.9483860238175028,0.8196831924942968,0.7805685104526829,0.9133725466229474,0.6629201455791051,0.8704935504024108,0.8982134461683122,0.03285647443855655,0.9634201930746874,0.8653569717297557,0.6906434705029553,0.9896769870257396,0.6841448189762797,0.0071361019152217375,0.9896769870257396,0.6912809208915014,0.2685886450328929,0.1940652818991098,0.08662745337705255,0.6913797811980305,0.28069273527616234,4820.0,0.3,0.1011021619330224,0.02687263897622796
Adult Race-Binary,no_transform,"TuningLR, wd: 0.1, RAdam, PR_t: 0.4",2,0.7966443695063298,0.8393669634025717,0.0496616008089914,0.940834458616674,0.7897053625935803,0.7943074254229501,0.8875894384531455,0.6581160834611274,0.7989416044981809,0.8500235072872591,0.06054753046101869,0.9287695811445872,0.7894759768262404,0.7896732463477194,0.9904109636737778,0.7827715355805244,0.007578697091530474,0.9904109636737778,0.7903502326720548,0.346951185803527,0.2502472799208704,0.11241056154685444,0.690036864798197,0.3626578414677248,4820.0,0.4,0.2012858555885263,0.11468474547226608
