dataset,transform,model,repeat,Accuracy,TNR,TNR_race_0,TNR_race_0-race_1,TNR_race_0/race_1,TNR_race_1,TPR,TPR_race_0,TPR_race_0-race_1,TPR_race_0/race_1,TPR_race_1,TNR_sex_0,TNR_sex_0-sex_1,TNR_sex_0/sex_1,TNR_sex_1,TPR_sex_0,TPR_sex_0-sex_1,TPR_sex_0/sex_1,TPR_sex_1
Compas Race,no_transform,SVM,3-7230,0.6885644768856448,0.7827380952380952,0.7451923076923077,0.09855769230769229,0.8831908831908832,0.84375,0.5757575757575758,0.6423173803526449,0.22768323401118146,0.6455284552845528,0.4146341463414634,,,,,,,,
Compas Race,no_transform,Agarwal LR,3-7230,0.6690997566909975,0.7589285714285714,0.7307692307692307,0.07391826923076927,0.9081404032860343,0.8046875,0.5614973262032086,0.6120906801007556,0.17306628985685318,0.7172538392050588,0.43902439024390244,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,3-7230,0.6772100567721006,0.7529761904761905,0.7235576923076923,0.07722355769230771,0.9035647279549719,0.80078125,0.5864527629233511,0.6473551637279596,0.2083307734840572,0.678181645629686,0.43902439024390244,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",3-7230,0.6642335766423357,0.7113095238095238,0.6850961538461539,0.06881009615384615,0.9087285771223595,0.75390625,0.6078431372549019,0.6498740554156172,0.1437764944400074,0.778762525997353,0.5060975609756098,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",4-9640,0.6650446066504461,0.7604166666666666,0.7355769230769231,0.06520432692307687,0.9185741088180113,0.80078125,0.5508021390374331,0.6095717884130982,0.2010352030472446,0.6702025801249748,0.40853658536585363,,,,,,,,
Compas Race,no_transform,LRCV,4-9640,0.6528791565287916,0.7544642857142857,0.7355769230769231,0.04957932692307687,0.936854190585534,0.78515625,0.5311942959001783,0.5869017632241813,0.19056029980954714,0.6753114204961793,0.39634146341463417,,,,,,,,
Compas Race,no_transform,SVM,4-9640,0.6820762368207623,0.8020833333333334,0.7764423076923077,0.06730769230769229,0.9202279202279202,0.84375,0.5383244206773619,0.6095717884130982,0.24371812987651287,0.6001814150372908,0.36585365853658536,,,,,,,,
Compas Race,no_transform,Agarwal LR,4-9640,0.6650446066504461,0.7604166666666666,0.7355769230769231,0.06520432692307687,0.9185741088180113,0.80078125,0.5508021390374331,0.6095717884130982,0.2010352030472446,0.6702025801249748,0.40853658536585363,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,4-9640,0.6601784266017843,0.7648809523809523,0.7427884615384616,0.057992788461538436,0.9275797373358349,0.80078125,0.5347593582887701,0.5843828715365239,0.1697487251950605,0.709524810765349,0.4146341463414634,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",4-9640,0.6334144363341444,0.6979166666666666,0.6706730769230769,0.07151442307692313,0.9036437246963562,0.7421875,0.5561497326203209,0.6020151133501259,0.15689316213061372,0.739386672109399,0.4451219512195122,,,,,,,,
Compas Race,no_transform,"Logistic Regression, C=1.0",5-12050,0.689375506893755,0.7827380952380952,0.7740384615384616,0.022836538461538436,0.971342383107089,0.796875,0.5775401069518716,0.6297229219143576,0.17850340971923567,0.7165365853658537,0.45121951219512196,,,,,,,,
Compas Race,no_transform,LRCV,5-12050,0.6731549067315491,0.7604166666666666,0.7427884615384616,0.046274038461538436,0.9413556740289414,0.7890625,0.5686274509803921,0.6221662468513854,0.183141856607483,0.7056383924163128,0.43902439024390244,,,,,,,,
Compas Race,no_transform,SVM,5-12050,0.6958637469586375,0.7931547619047619,0.7644230769230769,0.07542067307692313,0.9101967799642218,0.83984375,0.5793226381461676,0.6498740554156172,0.24133747004976353,0.62863962941955,0.40853658536585363,,,,,,,,
Compas Race,no_transform,Agarwal LR,5-12050,0.6804541768045418,0.7767857142857143,0.7788461538461539,0.005408653846153855,0.9930555555555556,0.7734375,0.5650623885918004,0.6095717884130982,0.1522547152423665,0.7502267687966137,0.4573170731707317,,,,,,,,
Compas Race,no_transform,Kamiran & Calders LR,5-12050,0.6853203568532036,0.78125,0.7788461538461539,0.006310096153846145,0.9919632606199771,0.78515625,0.5704099821746881,0.6221662468513854,0.17704429563187324,0.7154389256443171,0.4451219512195122,,,,,,,,
Compas Race,no_transform,"ZafarEqOpp, τ=5.0, μ=1.2",5-12050,0.6707218167072182,0.7247023809523809,0.7043269230769231,0.05348557692307687,0.929421094369548,0.7578125,0.6060606060606061,0.654911838790932,0.16710696074215148,0.7448405253283302,0.4878048780487805,,,,,,,,
