dataset,transform,model,repeat,Accuracy,CV absolute,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1
Adult Race,no_transform,GPyT_in_False,4-9640,0.8545997346306944,0.9017840291562266,0.9309128325738644,0.9567669172932328,0.030647384273543188,0.967967763391896,0.92611953301969,0.6229361892012495,0.54,0.09106320431161197,0.8556987577639752,0.631063204311612,0.2063246351172048,0.12183544303797468,0.09821597084377336,0.5536680764225719,0.22005141388174806
Adult Race,no_transform,GPyT_dem_par_in_False,4-9640,0.8539363113666519,0.9253945527317692,0.9450242540055858,0.9539473684210528,0.01057744334699795,0.9889119214569398,0.9433699250740548,0.5774207942882642,0.515,0.06853748162665363,0.8825482787573468,0.5835374816266536,0.1844316674038036,0.12025316455696206,0.07460544726823076,0.6171303563675229,0.1948586118251928
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,4-9640,0.8533834586466166,0.9132565650320524,0.9256210495369692,0.9426691729323308,0.020208813984779028,0.978562135513654,0.922460358947552,0.6340919232485498,0.57,0.07037236648701617,0.8901071155317521,0.6403723664870161,0.21306943830163644,0.13844936708860758,0.08674343496794767,0.6148036963181319,0.2251928020565553
Adult Race,no_transform,GPyT_in_False,5-12050,0.8604599734630695,0.9145309296801276,0.9347346758782892,0.9530075187969924,0.02166059424567701,0.9772713291149898,0.9313469245513156,0.6349843819723338,0.59,0.049392454679078934,0.922750957854406,0.6393924546790789,0.20643520566121185,0.13291139240506328,0.08546907031987244,0.6086230917665639,0.21838046272493566
Adult Race,no_transform,GPyT_dem_par_in_False,5-12050,0.8594648385670057,0.9398233868081092,0.9459062178450685,0.9520676691729324,0.0073037730237773815,0.9923285148101688,0.9447638961491548,0.5970548862115127,0.61,0.014213620774130353,0.9766989823374912,0.5957863792258696,0.1886333480760725,0.13686708860759494,0.06017661319189091,0.6946027066973833,0.19704370179948585
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,5-12050,0.8611233967271119,0.9266860011063748,0.9300308687343821,0.9398496240601504,0.011639134427810284,0.98761596096881,0.9282104896323399,0.6519410977242303,0.635,0.01860117589416954,0.97154047976012,0.6536011758941696,0.2141751437417072,0.15110759493670886,0.07331399889362533,0.673320211115461,0.2244215938303342
Adult Race,no_transform,GPyT_in_False,6-14460,0.8592436974789915,0.8917693046109791,0.9245920917242392,0.9577067669172932,0.03925407481065446,0.9590124282644392,0.9184526921066388,0.6608656849620705,0.58,0.08878980891719745,0.8672380952380953,0.6687898089171974,0.22047766475011046,0.127373417721519,0.10823069538902086,0.540624762615067,0.23560411311053986
Adult Race,no_transform,GPyT_dem_par_in_False,6-14460,0.7772003538257408,0.9904127753734014,0.9995590180802588,1.0,0.000522739153162588,0.9994772608468374,0.9994772608468374,0.10218652387327086,0.11,0.008579127878490939,0.9220079283773552,0.10142087212150906,0.02565236620964175,0.01740506329113924,0.00958722462659855,0.6448161543098252,0.026992287917737792
Adult Race,no_transform,GPyT_dem_par_in_False_tar_max,6-14460,0.8578062804068997,0.9120468744915556,0.939438483022196,0.9614661654135338,0.02611157402130515,0.9728419210570198,0.9353545913922288,0.609995537706381,0.56,0.05489465948064665,0.9107250996015938,0.6148946594806467,0.1967049977885892,0.12104430379746835,0.08795312550844422,0.5791664720444674,0.20899742930591256
Adult Race,no_transform,GPyT_in_False,7-16870,0.8616762494471473,0.9101119390843122,0.9309128325738644,0.9530075187969924,0.026191000239752626,0.9725175303204172,0.9268165185572399,0.6514948683623383,0.61,0.045560999510044116,0.9305007473841554,0.6555609995100441,0.21340114993365766,0.1360759493670886,0.08988806091568774,0.602201869212713,0.22596401028277635
